"ID Produit Sellsy";Catégorie;Unité;"Tarif -20%";"Tarif -35%";"Tarif -40%";"Tarif 10%";"Tarif plein";Référence;"Nom commercial";"Prix référence HT";Description; lien; image
1089;COCOTAPIS;PIECE;9,25;7,51;6,94;10,40;11,56;COCON4060TBONCOEUR;"COCO NATUREL/LATEXTEXTE BONJOUR COEUR-40x60cm - Ep.15mm";11,56;
108;CCTAPIS;PIECE;3,41;2,77;2,56;3,83;4,26;M5;"M5 GRILLE CAOUTCHOUC NOIR - 33x58cm - Ep.10mm";4,26;
1090;COCOTAPIS;PIECE;9,25;7,51;6,94;10,40;11,56;COCON4060TBIENVCAL;"COCO NATUREL/LATEX TEXTE BIENV.CALLIGR  40x60cm  Ep.15mm";11,56;
1091;COCOTAPIS;PIECE;6,87;5,58;5,15;7,73;8,59;COCON2575MHOME;"COCO NATUREL/LATEX MARCHE HOME - 25x75cm - Ep.15mm";8,59;
1092;COCOTAPIS;PIECE;6,87;5,58;5,15;7,73;8,59;COCON2575MBIENVNOI;"COCO NATUREL/LATEX MARCHE BIENV. NOIR-25x75cm-Ep.15mm";8,59;
1093;COCOTAPIS;PIECE;35,47;28,82;26,60;39,91;44,34;COCON4575EP35GEOME;"COCO NATUREL/PVC GEOMETRIC NOIR - 45x75cm - Ep.35mm";44,34;
1094;COCOTAPIS;PIECE;35,47;28,82;26,60;39,91;44,34;COCON4575EP35HOMEC;"COCO NATUREL/PVC HOME CARREAUX DE CIMENT-45x75cm-Ep.35mm";44,34;
1095;COCOTAPIS;PIECE;35,47;28,82;26,60;39,91;44,34;COCON4575EP35BLGRV;"COCO NATUREL/PVC BLEU GRIS VERT - 45x75cm - Ep.35mm";44,34;
1096;COCOTAPIS;PIECE;35,47;28,82;26,60;39,91;44,34;COCON4575EP35MANDA;"COCO NATUREL/PVC MANDALA - 45x75cm - Ep.35mm";44,34;
1097;CCTAPIS;PIECE;55,64;45,21;41,73;62,60;69,55;PADDOCK75100;"PADDOCK DALLE - 75x100cm - Ep.30mm";69,55;
1098;TEXTTAPIS;PIECE;9,00;7,31;6,75;10,13;11,25;GAILLAC608005;"GAILLAC BLEU - 60x80cm - Ep.8mm";11,25;
1099;TEXTTAPIS;PIECE;8,57;6,96;6,43;9,64;10,71;GAILLAC608020;"GAILLAC NOIR - 60x80cm - Ep.8mm";10,71;
109;CCTAPIS;PIECE;4,74;3,85;3,55;5,33;5,92;M98;"M98 CAILLEBOTIS NOIR - 40x60cm - Ep.14 mm";5,92;
1100;TEXTTAPIS;PIECE;18,97;15,41;14,23;21,34;23,71;GAILLAC8012005;"GAILLAC BLEU - 80x120cm - Ep.8mm";23,71;
1101;CCTAPIS;PIECE;8,00;6,50;6,00;9,00;10,00;TRESSE4575;"TRESSE TAPIS CAOUTCHOUC NOIR - 45x75 cm - Ep.6mm";10,00;
1102;TEXTTAPIS;PIECE;48,15;39,12;36,11;54,17;60,19;MIRANDE9015020;"MIRANDE NOIR - 90x150cm - Ep.9mm";60,19;
1103;TEXTTAPIS;PIECE;6,79;5,52;5,09;7,64;8,49;MARCIAC406002;"MARCIAC GRIS FONCE - 40x60cm - Ep.10mm";8,49;
1104;TEXTTAPIS;PIECE;26,34;21,40;19,75;29,63;32,92;MARCIAC8012006;"MARCIAC GRIS CLAIR - 80x120cm - Ep.10mm";32,92;
1105;TEXTTAPIS;PIECE;26,34;21,40;19,75;29,63;32,92;MARCIAC8012002;"MARCIAC GRIS FONCE - 80x120cm - Ep.10mm";32,92;
1106;PLATAPIS;PIECE;90,31;73,38;67,73;101,60;112,89;HYPERGRAT508002;"HYPERGRAT GRIS - 50x80cm - Ep.22mm";112,89;
